"donor_id","age","gender","country","region","segment","birth_year","age_at_observation","recency_days_12m","frequency_12m","monetary_total_12m","monetary_mean_12m","monetary_max_12m","monetary_min_12m","recency_days_24m","frequency_24m","monetary_total_24m","monetary_mean_24m","monetary_max_24m","monetary_min_24m","amount_trend","count_trend","amount_growth","lifetime_donations","lifetime_amount","days_since_first","days_since_last","donor_age_days","avg_days_between","is_new_donor","target_donated","target_amount"
5,52,"F","UK","South","Gold",1966,51,227,1,136.39,136.39,136.39,136.39,227,2,319.25,159.625,182.86,136.39,0,0,-0.971507942161123,12,1611.24,1765,227,1765,160.454545454545,0,0,0
15,73,"M","UK","North","Silver",1945,72,287,2,203.45,101.725,113.42,90.03,287,2,203.45,101.725,113.42,90.03,0,0,-0.980718245360328,7,620.73,1840,287,1840,306.666666666667,0,0,0
16,46,"F","UK","South","Gold",1972,45,130,5,584.69,116.938,148.17,81.95,130,9,1069.72,118.857777777778,163.42,71.21,0,0,-0.993205252339941,23,2730.97,1882,130,1882,85.5454545454545,0,0,0
19,61,"F","Germany","East","Gold",1957,60,218,2,220.32,110.16,121.03,99.29,218,8,830.02,103.7525,138.19,61.76,0,0,-0.982168330955777,17,1955.46,1882,218,1882,117.625,0,0,0
27,54,"F","Canada","North","Silver",1964,53,365,0,0,0,0,0,446,3,115.44,38.48,64.6,10,0,0,0,6,393.45,1792,446,1792,358.4,0,0,0
34,67,"F","Canada","South","Gold",1951,66,365,0,0,0,0,0,372,4,396.02,99.005,164.59,63.82,0,0,0,13,1419.04,1883,372,1883,156.916666666667,0,1,185.88
36,41,"M","Canada","West","Silver",1977,40,365,0,0,0,0,0,418,1,65.76,65.76,65.76,65.76,0,0,0,3,196.37,1904,418,1904,952,0,0,0
55,47,"M","Canada","East","Silver",1971,46,204,3,262.55,87.5166666666667,137.43,10,204,8,669.03,83.62875,137.43,10,0,0,-0.98499343462765,18,1339.97,1941,204,1941,114.176470588235,0,0,0
61,53,"M","UK","East","Gold",1965,52,315,1,193.15,193.15,193.15,193.15,315,5,716.15,143.23,230.44,48.92,0,0,-0.979710880040578,16,1790.11,1850,315,1850,123.333333333333,0,0,0
62,70,"F","USA","North","Silver",1948,69,365,0,0,0,0,0,377,2,208.55,104.275,135.94,72.61,0,0,0,6,464.72,1733,377,1733,346.6,0,0,0
66,52,"M","UK","West","Gold",1966,51,335,2,188.13,94.065,145.1,43.03,335,2,188.13,94.065,145.1,43.03,0,0,-0.979180763025035,17,2444.18,1818,335,1818,113.625,0,0,0
72,75,"M","USA","South","Gold",1943,74,255,1,116.15,116.15,116.15,116.15,255,4,569.12,142.28,184.16,116.15,0,0,-0.966708281315023,15,1704.5,1841,255,1841,131.5,0,0,0
74,53,"F","Canada","North","Gold",1965,52,124,2,253.32,126.66,135.54,117.78,124,4,361.18,90.295,135.54,23.44,0,0,-0.984455153116742,17,1981.45,1800,124,1800,112.5,0,1,329.53
79,63,"F","France","South","Gold",1955,62,246,4,569.29,142.3225,177.12,69.84,246,9,1183.1,131.455555555556,251.72,10,0,0,-0.993022728462035,19,2262.5,1826,246,1826,101.444444444444,0,0,0
88,51,"F","Germany","East","Silver",1967,50,365,0,0,0,0,0,440,1,60.88,60.88,60.88,60.88,0,0,0,8,797.25,1702,440,1702,243.142857142857,0,0,0
91,50,"M","Germany","Central","Bronze",1968,49,365,0,0,0,0,0,409,2,99.31,49.655,55.25,44.06,0,0,0,3,169.74,1423,409,1423,711.5,0,0,0
94,40,"M","USA","North","Gold",1978,39,187,2,273.06,136.53,165.73,107.33,187,4,717.9,179.475,274.01,107.33,0,0,-0.985562694001299,12,1684.4,1902,187,1902,172.909090909091,0,0,0
95,18,"F","USA","East","Bronze",2000,17,365,0,0,0,0,0,377,2,103.03,51.515,67.86,35.17,0,0,0,4,156.43,1283,377,1283,427.666666666667,0,1,54.03
97,61,"F","Germany","North","Gold",1957,60,365,0,0,0,0,0,423,2,275.87,137.935,150.93,124.94,0,0,0,19,1975.65,1919,423,1919,106.611111111111,0,0,0
102,52,"F","USA","South","Silver",1966,51,333,1,50.43,50.43,50.43,50.43,333,6,464.53,77.4216666666667,114.07,39.55,0,0,-0.926511115193827,10,655.22,1759,333,1759,195.444444444444,0,1,63.73
111,62,"M","USA","East","Silver",1956,61,124,3,287.12,95.7066666666667,109.67,84.54,124,6,499.51,83.2516666666667,109.67,67.38,0,0,-0.986259961527892,10,854.92,1241,124,1241,137.888888888889,0,1,42.67
116,72,"F","USA","North","Gold",1946,71,365,0,0,0,0,0,376,7,913.79,130.541428571429,192.73,54.03,0,0,0,20,2849.64,1887,376,1887,99.3157894736842,0,1,206.74
118,45,"M","USA","South","Bronze",1973,44,365,0,0,0,0,0,453,2,58.02,29.01,33.43,24.59,0,0,0,5,253.84,1641,453,1641,410.25,0,0,0
120,80,"F","USA","South","Bronze",1938,79,158,2,84.97,42.485,57.66,27.31,158,2,84.97,42.485,57.66,27.31,0,0,-0.955041025064629,3,115.52,1814,158,1814,907,0,0,0
123,65,"F","Other","West","Bronze",1953,64,365,0,0,0,0,0,451,1,30.05,30.05,30.05,30.05,0,0,0,2,67.54,780,451,780,780,0,0,0
128,58,"M","USA","North","Bronze",1960,57,365,0,0,0,0,0,433,1,57.87,57.87,57.87,57.87,0,0,0,8,332.96,1716,433,1716,245.142857142857,0,0,0
130,63,"M","Other","Central","Silver",1955,62,317,1,88.99,88.99,88.99,88.99,317,4,320.65,80.1625,97.71,62.97,0,0,-0.956984622002366,5,411.08,1330,317,1330,332.5,0,1,40.24
